social_network,outbound_post,status,account,account_type,author_name,campaign_name,permalink,scheduledtime,publishedtime,tags,published_date,day_of_week,time_of_day,events_outbound_message,media_format_outbound_message,related_product_outbound_message,msft_learn_product_program_outbound_message,c_641deea526668532c520df4c,msft_learn_content_owner_outbound_message,msft_learn_primary_audience_outbound_message,primary_objective_outbound_message,media_type,permalink_1,account_1,msft_learn_approvers_outbound_message,msft_learn_pillar_outbound_message,msft_learn_cta_outbound_message,gdc_impressions_sum,gdc_total_engagements_sum,post_likes_and_reactions_sum,post_comments_sum,post_shares_sum,estimated_clicks_sum,gdc_total_engagement_views_sum,count_of_positive_comments_sum,count_of_neutral_comments_sum,count_of_negative_comments_sum,followers_at_post_time_sum,instagram_business_post_impressions_sum,x_poll_votes_sum,stories_alcance,stories_visitas_perfil,stories_navegacao,ER,ER w/o swipes,Week
LinkedIn,This message has no text.,SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,[Auto Import] (Universal),https://www.linkedin.com/feed/update/urn:li:ugcPost:7455990687902167041,2026-05-01 10:45:05,2026-05-01 10:45:05,,05-01-2026 10:45,Friday,10:00,, , ,, ,,,,Video,https://www.linkedin.com/feed/update/urn:li:ugcPost:7455990687902167041,Microsoft Learn,,,,1,0,0,0,0,0,0,0,0,0,1148400,0,,,,,0.0,0.0,202605-W1
LinkedIn,Test,SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,[Auto Import] (Universal),https://www.linkedin.com/feed/update/urn:li:ugcPost:7445881432637325312,2026-04-03 13:14:31,2026-04-03 13:14:31,,04-03-2026 13:14,Friday,13:00,, , ,, ,,,,Video,https://www.linkedin.com/feed/update/urn:li:ugcPost:7445881432637325312,Microsoft Learn,,,,14,0,0,0,0,0,0,0,0,0,1118483,0,,,,,0.0,0.0,202604-W1
X,"Love this goal!! Here go links to all 3:

🌐 Networking basics  
[Fundamentals of computer networking](https://t.co/zLalqKXNwN)

🔐 Identity & access  
[Describe identity concepts](https://t.co/TqjPiYVKIF)

💰 Cost implications  
[Plan and manage your Azure costs](https://t.co/YLOkNvilFi)",SENT,Microsoft Learn,TWITTER,SprinklrSystem ,[Auto Import] (Universal),https://twitter.com/MicrosoftLearn/status/2043324771908091942,2026-04-12 09:46:03,2026-04-12 09:46:03,,04-12-2026 09:46,Sunday,09:00,, , ,, ,,,,Link,https://twitter.com/MicrosoftLearn/status/2043324771908091942,Microsoft Learn,,,,31,2,1,1,0,0,2,1,0,0,491200,0,,,,,6.45,6.45,202604-W2
Threads,"No idea what Azure Blobs are? Let’s break it down:

Blob storage is a type of storage service in Azure that’s designed to hold massive amounts of unstructured data like media files, logs, backups, and analytics datasets.

You’d use it when you need to:
• Show images or documents in an app
• Stream video or audio
• Keep backups safe
• Store large data for analytics",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DXsIxhkGmXS,2026-04-28 17:00:00,2026-04-28 17:00:21,,04-28-2026 17:00,Tuesday,17:00,, , ,Other, ,MSFT Learn | Microsoft created,Developer,,Text,https://www.threads.com/@microsoftlearn/post/DXsIxhkGmXS,microsoftlearn,,Educational,,102,4,4,0,0,0,4,0,0,0,15385,0,,,,,3.92,3.92,202604-W4
Threads,"AI can help you learn faster, communicate clearly, and make better decisions at every career stage.
• Early career: ramp up, build confidence, draft clearer work
• Mid-career: scale impact, align stakeholders, streamline workflows
• Leadership: spot patterns, pressure-test strategy, coach effectively
You’ll also find guidance on AI Skills Navigator.
👉 Read the blog: https://aka.ms/FY26Q4BusinessUserBlog3_TH",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | OBO (Universal),https://www.threads.com/@microsoftlearn/post/DXrtTytGtQa,2026-04-28 13:00:00,2026-04-28 13:00:24,,04-28-2026 13:00,Tuesday,13:00,, , ,Blog, ,MSFT Learn | Microsoft created,Biz User,,Photo,https://www.threads.com/@microsoftlearn/post/DXrtTytGtQa,microsoftlearn,,Informational,Other,103,5,5,0,0,5,5,0,0,0,15385,0,,,,,4.85,4.85,202604-W4
Threads,"Think IT runs all the agents? Not quite.

Different teams help make sure agent approvals support your org’s goals.

• Admins: Manage approvals, apply rules, and check technical details.
• Business owners: Give context on what the agent is for.
• Security & compliance: Watch for risky or overly broad access requests.",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DXpIg1PGjAi,2026-04-27 13:00:00,2026-04-27 13:00:21,,04-27-2026 13:00,Monday,13:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,General,,Text,https://www.threads.com/@microsoftlearn/post/DXpIg1PGjAi,microsoftlearn,,Educational,,149,6,5,1,0,0,6,0,1,0,15351,0,,,,,4.03,4.03,202604-W4
Threads,"If you're new to cybersecurity or AI, Security Copilot agents can make the whole space feel a lot safer and easier to navigate.

What does it actually do?

Think of it as something that can look at a security situation and act on it, not just describe it.

Instead of only surfacing alerts, these agents can:
• Access the right data with permissions in place
• Analyze what’s happening across your environment
• Suggest or take action based on that context",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DW4zQoiD96w,2026-04-08 18:30:44,2026-04-08 18:31:07,,04-08-2026 18:31,Wednesday,18:00,, , ,Copilot, ,MSFT Learn | Microsoft created,Biz User,,Text,https://www.threads.com/@microsoftlearn/post/DW4zQoiD96w,microsoftlearn,,Educational,,171,5,5,0,0,0,5,0,0,0,14708,0,,,,,2.92,2.92,202604-W2
Threads,"Cloud success is built on structure.

Azure has two sides:
Physical infrastructure → datacenters, regions, availability zones
Management infrastructure → subscriptions, policies, access controls

The physical side keeps your apps online, and the management side keeps your cloud clean, secure, and organized.

Learn how they fit together, and you’ll build cloud environments that are predictable, resilient, and easy to manage, no matter how big you grow.",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DW1T_wqFJIE,2026-04-07 10:00:00,2026-04-07 09:59:57,,04-07-2026 09:59,Tuesday,09:00,, , ,Other, ,MSFT Learn | Microsoft created,IT Pro,,Text,https://www.threads.com/@microsoftlearn/post/DW1T_wqFJIE,microsoftlearn,,Educational,,179,10,8,2,0,0,10,0,2,0,14628,0,,,,,5.59,5.59,202604-W1
Threads,"Need to manage lots of Virtual Machines?
Azure gives you two tools to manage groups of VMs:

1️⃣ Scale sets → For lots of identical VMs
• Auto‑scale up/down
• Built‑in load balancing
• Keeps every VM configured the same

2️⃣ Availability sets → For keeping VMs online
• Spread across different power/network sources
• Staggered maintenance
• Protects you from everything going down at once",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DXZR6CGFsdY,2026-04-21 09:14:14,2026-04-21 09:14:38,,04-21-2026 09:14,Tuesday,09:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://www.threads.com/@microsoftlearn/post/DXZR6CGFsdY,microsoftlearn,,Educational,,179,8,8,0,0,0,8,0,0,0,15218,0,,,,,4.47,4.47,202604-W3
Threads,"On the job hunt? Know these terms:
• Certification stack: Combining many credentials to show expertise
• Competency framework: Set of skills and behaviors needed for success
• Job matching: Aligning abilities and interests to a role
• Learning roadmap: Planned path for skill acquisition
• Micro‑credentials: Verified certifications for skills
• Skill gap analysis: Identifying missing skills for a desired role
• STAR Method: Structure for answering questions (Situation, Task, Action Result)",SENT,microsoftlearn,THREADS,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DXumQK7iYzr,2026-04-29 15:56:05,2026-04-29 15:56:05,,04-29-2026 15:56,Wednesday,15:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://www.threads.com/@microsoftlearn/post/DXumQK7iYzr,microsoftlearn,,Educational,,185,10,8,0,1,0,10,0,0,0,15412,0,,,,,5.41,5.41,202604-W5
Threads,"Leveling up your AI skills? These terms will help.
AI A–Z (part 3):
System prompt = hidden instructions that define behavior
Tool = external capability for data/actions
User intent = underlying goal of a request
Vector database = retrieves by meaning, not keywords
Workflow = multi-step execution process
XAI = explains how outputs were generated
YAML = config as readable text
Zero-shot = performs tasks without examples",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DXHqLdaGFWB,2026-04-14 13:00:00,2026-04-14 13:00:21,,04-14-2026 13:00,Tuesday,13:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,General,,Text,https://www.threads.com/@microsoftlearn/post/DXHqLdaGFWB,microsoftlearn,,Educational,,188,10,8,0,2,0,10,0,0,0,15041,0,,,,,5.32,5.32,202604-W2
Threads,"When should you use an Azure Virtual Machine?
More often than you’d expect.

Use it for:
• Testing & development
• Apps with variable demand
• Extending a datacenter to Azure
• Disaster recovery
• Lift‑and‑shift migrations

If you need control + reliability, virtual machines are the move.",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DXotDDTmnGv,2026-04-27 09:00:00,2026-04-27 09:00:21,,04-27-2026 09:00,Monday,09:00,, , ,Other, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://www.threads.com/@microsoftlearn/post/DXotDDTmnGv,microsoftlearn,,Educational,,200,11,9,2,0,0,11,1,1,0,15351,0,,,,,5.5,5.5,202604-W4
Threads,"Today felt like the right day to release these.

Microsoft Module: How to politely say ‘per my last email’
Microsoft Learning Path: Surviving back-to-back meetings
Microsoft Applied Skills: Troubleshooting your own overthinking
Microsoft Applied Skills: Advanced Tab Management for People with 87 Open Tabs
Microsoft Certified: AI prompt whisperer (PW‑900)
Microsoft Certified: Corporate small talk fundamentals (CS-100)",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DWmStenmEuY,2026-04-01 14:00:00,2026-04-01 14:00:21,,04-01-2026 14:00,Wednesday,14:00,, , ,Other, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://www.threads.com/@microsoftlearn/post/DWmStenmEuY,microsoftlearn,,Conversation,,219,11,11,0,0,0,11,0,0,0,14353,0,,,,,5.02,5.02,202604-W1
Threads,"If you want clearer predictions, faster decisions, and smarter products, machine learning (ML) is how you get there.

It helps teams spot patterns, predict what’s next, and make confident decisions.

And when data science and engineering build together, ML becomes the engine behind personalization, automation, and smarter products.",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DXKO-WBGFdd,2026-04-15 13:00:00,2026-04-15 13:00:22,,04-15-2026 13:00,Wednesday,13:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,Biz User,,Text,https://www.threads.com/@microsoftlearn/post/DXKO-WBGFdd,microsoftlearn,,Educational,,238,12,11,1,0,0,12,1,0,0,15104,0,,,,,5.04,5.04,202604-W3
Threads,"Part two of our AI A-Z glossary starts now:
Knowledge source = trusted data (docs, SharePoint, Dataverse)
Latency = response time
Memory = retains and reuses information across interactions
Natural language interface = language as the UI
Orchestrator = routes tasks and tools
Prompt = full model input (instructions + context + data)
Query = targeted retrieval request
RAG = retrieves external data before generating output",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DW94JvsgcyB,2026-04-10 17:49:41,2026-04-10 17:49:48,,04-10-2026 17:49,Friday,17:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://www.threads.com/@microsoftlearn/post/DW94JvsgcyB,microsoftlearn,,Educational,,254,10,10,0,0,0,10,0,0,0,14794,0,,,,,3.94,3.94,202604-W2
TikTok,"Save this video so next time someone drops AI in a meeting, you’ll know exactly what they mean.",SENT,Microsoft Learn,TIKTOK_BUSINESS,Emma Casey,MSFT Learn | AON (Universal),https://www.tiktok.com/@microsoftlearn/video/7632070127978155278,2026-04-23 17:30:00,2026-04-23 17:30:00,,04-23-2026 17:30,Thursday,17:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,General,,Video,https://www.tiktok.com/@microsoftlearn/video/7632070127978155278,Microsoft Learn,,Educational,,257,15,15,0,0,0,272,0,0,0,9970,0,,,,,5.84,5.84,202604-W4
Threads,"Dear Algo, connect me to everyone who wants to:
- Skill quickly
- Learn AI, practical skills, and smarter habits
- Simplify their workflow",SENT,microsoftlearn,THREADS,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DW4NybWFilB,2026-04-08 13:03:19,2026-04-08 13:03:19,,04-08-2026 13:03,Wednesday,13:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://www.threads.com/@microsoftlearn/post/DW4NybWFilB,microsoftlearn,,Conversation,,262,18,16,0,2,0,18,0,0,0,14708,0,,,,,6.87,6.87,202604-W2
Threads,"Quick! Cloud models open book quiz:
When you want full control = IaaS
When you want it all done for you = SaaS
When you want something in between = PaaS

How'd you do?",SENT,microsoftlearn,THREADS,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DW3rpT_Fkd-,2026-04-08 08:04:58,2026-04-08 08:04:58,,04-08-2026 08:04,Wednesday,08:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,General,,Carousel,https://www.threads.com/@microsoftlearn/post/DW3rpT_Fkd-,microsoftlearn,,Educational,,356,13,12,0,1,0,8,0,0,0,14708,0,,,,,3.65,3.65,202604-W2
Threads,"We give you: part 1 of our AI glossary

Agents = execute tasks on your behalf

Boosted conversations = apply custom instructions + grounded knowledge

Copilot Studio = builds & manages agents

Dataverse = a secure, structured data source

Express Mode = reduces response latency

Function calling = triggers APIs/workflows

Governance = defines access & controls

Human oversight = ensures accountability

Inference = model generating output from input

JSON = structured, machine-readable responses",SENT,microsoftlearn,THREADS,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DW7VDTeCe69,2026-04-09 18:04:31,2026-04-09 18:04:31,,04-09-2026 18:04,Thursday,18:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://www.threads.com/@microsoftlearn/post/DW7VDTeCe69,microsoftlearn,,Educational,,270,15,14,1,0,0,15,1,0,0,14745,0,,,,,5.56,5.56,202604-W2
Threads,"Before learning cloud tools, understand:
• Networking basics
• Identity & access
• Cost implications

Which one of these three do you want to learn more of next? We'll send you a link to a module!",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DXF8ULgjd0P,2026-04-13 21:00:00,2026-04-13 21:00:20,,04-13-2026 21:00,Monday,21:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,IT Pro,,Text,https://www.threads.com/@microsoftlearn/post/DXF8ULgjd0P,microsoftlearn,,Conversation,,279,18,11,5,2,0,18,1,4,0,15041,0,,,,,6.45,6.45,202604-W2
TikTok,Want to stay ahead? Microsoft’s research team is breaking down the trends shaping the future of work.,SENT,Microsoft Learn,TIKTOK_BUSINESS,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.tiktok.com/@microsoftlearn/video/7628404240465022238,2026-04-13 20:24:45,2026-04-13 20:24:45,,04-13-2026 20:24,Monday,20:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,CLO,,Video,https://www.tiktok.com/@microsoftlearn/video/7628404240465022238,Microsoft Learn,,Educational,,303,21,19,2,0,0,324,2,0,0,9942,0,,,,,6.93,6.93,202604-W2
Threads,"If you want to build your own Microsoft 365 Copilot Agent, follow this path:
1. Module: Understand Microsoft 365 Agents SDK
2. Module: Utilize an Azure OpenAI model to create an Agent
3. Module: Build your custom Agent using Microsoft 365 Agents SDK",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DW1ve1-GKA9,2026-04-07 14:00:00,2026-04-07 14:00:21,,04-07-2026 14:00,Tuesday,14:00,, , ,Other, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://www.threads.com/@microsoftlearn/post/DW1ve1-GKA9,microsoftlearn,,Informational,,304,11,11,0,0,0,11,0,0,0,14628,0,,,,,3.62,3.62,202604-W1
Threads,"We love seeing the developer expert community share how they build 👏
MVPs Jonah Andersson and Håkan Silfvernagel walk through using the Microsoft Learn MCP Server so AI agents can quickly pull best practices from Learn docs as you code.
https://youtu.be/8HCuV82huEw?t=920",SENT,microsoftlearn,THREADS,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DWrJ7B9Ftww,2026-04-03 11:19:25,2026-04-03 11:19:25,,04-03-2026 11:19,Friday,11:00,, , ,Other, ,MSFT Learn | Microsoft created,Developer,,Link,https://www.threads.com/@microsoftlearn/post/DWrJ7B9Ftww,microsoftlearn,,Informational,Microsoft Learn,323,23,19,3,1,0,23,1,2,0,14407,0,,,,,7.12,7.12,202604-W1
TikTok,"Work IQ is the layer that makes AI feel personal. It understands your workflow, your intent, and your why.",SENT,Microsoft Learn,TIKTOK_BUSINESS,Emma Casey,MSFT Learn | AON (Universal),https://www.tiktok.com/@microsoftlearn/video/7632371622900452622,2026-04-24 13:00:00,2026-04-24 13:00:00,,04-24-2026 13:00,Friday,13:00,, , ,Copilot, ,MSFT Learn | Microsoft created,General,,Video,https://www.tiktok.com/@microsoftlearn/video/7632371622900452622,Microsoft Learn,,Micro-skilling,,348,21,16,4,1,0,369,3,1,0,9971,0,,,,,6.03,6.03,202604-W4
Threads,"Take a quick detour from doomscrolling:
Go learn a new skill!
https://aiskillsnavigator.microsoft.com/",SENT,microsoftlearn,THREADS,Emma Casey,MSFT Learn | AON (Universal),https://www.threads.com/@microsoftlearn/post/DWy9xM3EeIH,2026-04-06 12:07:08,2026-04-06 12:07:30,,04-06-2026 12:07,Monday,12:00,, , ,AI Skills Navigator (AISN), ,MSFT Learn | Agency (Dojo) created,General,,Link,https://www.threads.com/@microsoftlearn/post/DWy9xM3EeIH,microsoftlearn,,Conversation,ASN,395,8,7,1,0,24,8,0,1,0,14573,0,,,,,2.03,2.03,202604-W1
